week_start,week_label,source,total_rows,feedback_rows,content_flag,performance_flag,ai_assistant_flag,uiux_flag,core_functionality_flag,content_pct,performance_pct,ai_assistant_pct,uiux_pct,core_functionality_pct
2026-01-26,Jan W4 '26,combined,195,60,5,9,11,9,8,8.33,15.0,18.33,15.0,13.33
2026-02-02,Feb W1 '26,screen,161,39,9,4,5,1,8,23.08,10.26,12.82,2.56,20.51
2026-02-02,Feb W1 '26,interview,11,3,0,2,0,0,1,0.0,66.67,0.0,0.0,33.33
2026-02-02,Feb W1 '26,combined,172,42,9,6,5,1,9,21.43,14.29,11.9,2.38,21.43
2026-02-09,Feb W2 '26,screen,207,50,9,6,3,3,6,18.0,12.0,6.0,6.0,12.0
2026-02-09,Feb W2 '26,interview,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-02-09,Feb W2 '26,combined,208,50,9,6,3,3,6,18.0,12.0,6.0,6.0,12.0
2026-02-16,Feb W3 '26,screen,303,66,25,7,5,4,8,37.88,10.61,7.58,6.06,12.12
2026-02-16,Feb W3 '26,interview,15,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-02-16,Feb W3 '26,combined,318,67,25,7,5,4,8,37.31,10.45,7.46,5.97,11.94
2026-02-23,Feb W4 '26,screen,329,76,12,10,2,13,10,15.79,13.16,2.63,17.11,13.16
2026-02-23,Feb W4 '26,interview,21,8,0,2,0,1,2,0.0,25.0,0.0,12.5,25.0
2026-02-23,Feb W4 '26,combined,350,84,12,12,2,14,12,14.29,14.29,2.38,16.67,14.29
